-,sp,_
13127,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4637,skill_1:4469,s1_missile*6:86,s1_missile*7:3067,team_buff:865
8236,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:3819,skill_1:3112,s1_missile*0:0,s1_missile*1:160,s1_missile*2:277,team_buff:865
-,sp,k
14353,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5101,skill_1:4916,s1_missile*6:94,s1_missile*7:3374,team_buff:865
8973,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4201,skill_1:3423,s1_missile*0:0,s1_missile*1:176,s1_missile*2:305,team_buff:865
-,sp,r
14270,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4637,skill_1:5139,s1_missile*6:99,s1_missile*7:3527,team_buff:865
8769,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:3819,skill_1:3579,s1_missile*0:0,s1_missile*1:184,s1_missile*2:319,team_buff:865
-,sp,kr
15611,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5101,skill_1:5653,s1_missile*6:109,s1_missile*7:3880,team_buff:865
9559,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4201,skill_1:3937,s1_missile*0:0,s1_missile*1:203,s1_missile*2:351,team_buff:865
-,sp,d
13871,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4919,skill_1:4740,s1_missile*6:91,s1_missile*7:3252,team_buff:865
