-,60,_
26514,Halloween_Mym,5*,flame,axe,9068,Primal_Crisis,An_Ancient_Oath,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:5289,skill_1:1511,team_buff:2998,dx:12766,ds:3947
14363,_c_Halloween_Mym,5*,flame,axe,8113,Primal_Crisis,An_Ancient_Oath,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,!<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:3470,skill_1:1012,dx:7638,ds:2242
-,60,affliction
29948,Halloween_Mym,5*,flame,axe,9066,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:6750,skill_1:1917,team_buff:2998,dx:14039,ds:4241
16535,_c_Halloween_Mym,5*,flame,axe,8112,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,!<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:4433,skill_1:1284,dx:8407,ds:2409
-,120,_
25638,Halloween_Mym,5*,flame,axe,9068,Primal_Crisis,An_Ancient_Oath,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:6865,skill_1:1559,team_buff:4032,dx:10983,ds:2197
13234,_c_Halloween_Mym,5*,flame,axe,8113,Primal_Crisis,An_Ancient_Oath,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,!<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:4260,skill_1:1045,dx:6674,ds:1254
-,120,affliction
28946,Halloween_Mym,5*,flame,axe,9066,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:8737,skill_1:1979,team_buff:4032,dx:11821,ds:2375
15290,_c_Halloween_Mym,5*,flame,axe,8112,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,!<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:5425,skill_1:1327,dx:7182,ds:1355
-,180,_
23824,Halloween_Mym,5*,flame,axe,9068,Primal_Crisis,An_Ancient_Oath,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:7798,skill_1:1748,team_buff:4648,dx:7945,ds:1683
11748,_c_Halloween_Mym,5*,flame,axe,8113,Primal_Crisis,An_Ancient_Oath,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,!<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:4784,skill_1:1173,dx:4825,ds:963
-,180,affliction
27012,Halloween_Mym,5*,flame,axe,9066,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:9792,skill_1:2186,team_buff:4648,dx:8556,ds:1827
13722,_c_Halloween_Mym,5*,flame,axe,8112,Primal_Crisis,Me_and_My_Bestie,Gala_Mars,Agito2,Blade,Tiki,Serena,Weapon,,!<hit10 & hp50 & hit15 & s1 defdown for 10s & buff all team>,,attack:6012,skill_1:1467,dx:5196,ds:1046
